DWLR_ID,Timestamp,Time,Month,Depth,Temperature,Battery Level,Anomaly
srinagari_01,01-01-2024 00:00,00:00:00,Jan,35.0,15.9481,99.9,Normal
srinagari_01,01-01-2024 06:00,06:00:00,Jan,35.1078,15.9535,99.8,Normal
srinagari_01,01-01-2024 12:00,12:00:00,Jan,35.2757,15.9714,99.7,Normal
srinagari_01,01-01-2024 18:00,18:00:00,Jan,35.469,15.9862,99.6,Normal
srinagari_01,02-01-2024 00:00,00:00:00,Jan,35.6571,15.9725,99.5,Normal
srinagari_01,02-01-2024 06:00,06:00:00,Jan,35.6247,15.9714,99.4,Normal
srinagari_01,02-01-2024 12:00,12:00:00,Jan,35.5856,15.9668,99.3,Normal
srinagari_01,02-01-2024 18:00,18:00:00,Jan,35.5797,15.9571,99.2,Normal
srinagari_01,03-01-2024 00:00,00:00:00,Jan,35.579,15.9693,99.1,Normal
srinagari_01,03-01-2024 06:00,06:00:00,Jan,35.5396,15.9533,99.0,Normal
srinagari_01,03-01-2024 12:00,12:00:00,Jan,35.4957,15.9346,98.9,Normal
srinagari_01,03-01-2024 18:00,18:00:00,Jan,35.6,15.9545,98.8,Normal
srinagari_01,04-01-2024 00:00,00:00:00,Jan,35.5863,15.967,98.7,Normal
srinagari_01,04-01-2024 06:00,06:00:00,Jan,35.5381,15.9854,98.6,Normal
srinagari_01,04-01-2024 12:00,12:00:00,Jan,35.5271,15.9669,98.5,Normal
