DWLR_ID,Timestamp,Time,Month,Depth,Temperature,Battery Level,Anomaly
chennai_01,01-01-2034 00:00,00:00:00,Jan,25.0,29.023,99.9,Normal
chennai_01,01-01-2034 06:00,06:00:00,Jan,25.1577,29.0049,99.8,Normal
chennai_01,01-01-2034 12:00,12:00:00,Jan,25.3286,28.9854,99.7,Normal
chennai_01,01-01-2034 18:00,18:00:00,Jan,25.4821,28.9766,99.6,Normal
chennai_01,02-01-2034 00:00,00:00:00,Jan,25.6385,28.971,99.5,Normal
chennai_01,02-01-2034 06:00,06:00:00,Jan,25.6818,28.9807,99.4,Normal
chennai_01,02-01-2034 12:00,12:00:00,Jan,25.6503,28.9711,99.3,Normal
chennai_01,02-01-2034 18:00,18:00:00,Jan,25.6155,28.9838,99.2,Normal
chennai_01,03-01-2034 00:00,00:00:00,Jan,25.6537,28.9666,99.1,Normal
chennai_01,03-01-2034 06:00,06:00:00,Jan,25.6118,28.9615,99.0,Normal
chennai_01,03-01-2034 12:00,12:00:00,Jan,25.6074,28.9519,98.9,Normal
chennai_01,03-01-2034 18:00,18:00:00,Jan,25.6346,28.9398,98.8,Normal
chennai_01,04-01-2034 00:00,00:00:00,Jan,25.6036,28.9359,98.7,Normal
chennai_01,04-01-2034 06:00,06:00:00,Jan,25.6304,28.93,98.6,Normal
chennai_01,04-01-2034 12:00,12:00:00,Jan,25.5976,28.9454,98.5,Normal
