DWLR_ID,Timestamp,Time,Month,Depth,Temperature,Battery Level
chennai_01,01-01-2034 00:00,00:00:00,Jan,25.0,28.8069,99.9
chennai_01,01-01-2034 06:00,06:00:00,Jan,25.1937,28.8056,99.8
chennai_01,01-01-2034 12:00,12:00:00,Jan,25.33,28.8092,99.7
chennai_01,01-01-2034 18:00,18:00:00,Jan,25.4964,28.8134,99.6
chennai_01,02-01-2034 00:00,00:00:00,Jan,25.6803,28.8235,99.5
chennai_01,02-01-2034 06:00,06:00:00,Jan,25.7265,28.8141,99.4
chennai_01,02-01-2034 12:00,12:00:00,Jan,25.7497,28.8254,99.3
chennai_01,02-01-2034 18:00,18:00:00,Jan,25.7441,28.8431,99.2
chennai_01,03-01-2034 00:00,00:00:00,Jan,25.7921,28.8416,99.1
chennai_01,03-01-2034 06:00,06:00:00,Jan,25.8401,28.8541,99.0
chennai_01,03-01-2034 12:00,12:00:00,Jan,25.8846,28.8494,98.9
