DWLR_ID,Timestamp,Time,Month,Depth,Temperature,Battery Level,Anomaly
kaladera_01,01-01-2024 00:00,00:00:00,Jan,45.0,25.5511,99.9,Normal
kaladera_01,01-01-2024 06:00,06:00:00,Jan,45.1109,25.5355,99.8,Normal
kaladera_01,01-01-2024 12:00,12:00:00,Jan,45.2548,25.5554,99.7,Normal
kaladera_01,01-01-2024 18:00,18:00:00,Jan,45.4012,25.5715,99.6,Normal
kaladera_01,02-01-2024 00:00,00:00:00,Jan,45.5089,25.5588,99.5,Normal
kaladera_01,02-01-2024 06:00,06:00:00,Jan,45.5025,25.5608,99.4,Normal
kaladera_01,02-01-2024 12:00,12:00:00,Jan,45.4709,25.552,99.3,Normal
kaladera_01,02-01-2024 18:00,18:00:00,Jan,45.6372,25.5387,99.2,Normal
kaladera_01,03-01-2024 00:00,00:00:00,Jan,45.6845,25.5332,99.1,Normal
kaladera_01,03-01-2024 06:00,06:00:00,Jan,45.7271,25.5362,99.0,Normal
kaladera_01,03-01-2024 12:00,12:00:00,Jan,45.7027,25.5517,98.9,Normal
kaladera_01,03-01-2024 18:00,18:00:00,Jan,45.6946,25.5483,98.8,Normal
kaladera_01,04-01-2024 00:00,00:00:00,Jan,45.7168,25.5552,98.7,Normal
kaladera_01,04-01-2024 06:00,06:00:00,Jan,45.727,25.5544,98.6,Normal
kaladera_01,04-01-2024 12:00,12:00:00,Jan,45.7246,25.5365,98.5,Normal
